Release Name,DiyActivePedal.dll,MSFS_SIMHUB_PLUGN_BY_asxasdfghjkl.7z,esp32_0.zip,esp32_analogout_SC_D15.zip,esp32_bridge.zip,esp32_speedcrafter.zip,esp32s3-gilphilbert.zip,esp32s3.zip,esp32s3_Bridge_Fanatec.zip,esp32s3_Bridge_With_Joy.zip,esp32s3_espmaster.zip,esp32s3_joystickreceiver.zip
Develop_Package_v20240829.210716,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32_analogout_SC_D15.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32_bridge.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32s3.zip,,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240829.210716/esp32s3_joystickreceiver.zip
Develop_Package_v20240828.212022,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32_analogout_SC_D15.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32_bridge.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32s3.zip,,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240828.212022/esp32s3_joystickreceiver.zip
Develop_Package_v20240824.011417,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32_0.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32_analogout_SC_D15.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32_bridge.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32_speedcrafter.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32s3-gilphilbert.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32s3.zip,,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240824.011417/esp32s3_joystickreceiver.zip
Develop_Package_v20240823.213727,,,,,,,,,,,,
Develop_Package_v20240817.121331,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240817.121331/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240817.121331/esp32_0.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240817.121331/esp32_bridge.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240817.121331/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240817.121331/esp32s3.zip,,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240817.121331/esp32s3_joystickreceiver.zip
Develop_Package_v20240816.110647,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240816.110647/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240816.110647/esp32_0.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240816.110647/esp32_bridge.zip,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240816.110647/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240816.110647/esp32s3.zip,,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240816.110647/esp32s3_joystickreceiver.zip
Develop_Package_v20240813.120203,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.120203/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.120203/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.120203/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.120203/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.120203/esp32s3_espmaster.zip,
Develop_Package_v20240813.100423,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.100423/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.100423/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.100423/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.100423/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240813.100423/esp32s3_espmaster.zip,
Release_Package_v85,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v85/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v85/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v85/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v85/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Release_Package_v85/esp32s3_espmaster.zip,
Develop_Package_v20240810.073438,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240810.073438/DiyActivePedal.dll,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240810.073438/esp32_0.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240810.073438/esp32_speedcrafter.zip,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240810.073438/esp32s3.zip,,,https://github.com/ChrGri/DIY-Sim-Racing-FFB-Pedal/releases/download/Develop_Package_v20240810.073438/esp32s3_espmaster.zip,
